packet_size,flow_duration,comm_interval,destination_port,protocol,num_packets,src_ip,dst_ip,packet_loss,latency,intent
343.0818372406244,105.65461135568528,3.9825197253391598,3389,DNS,88,192.168.72.220,10.0.199.62,0.02000064308432419,195.83424319460457,Command_Execution
571.01111235687,200.26573039658825,1.3578228776763699,443,TCP,59,192.168.128.170,10.0.192.133,0.09429670484682384,187.22448661081413,System_Reconnaissance
543.6421046509228,142.76482876229997,2.277242318706553,53,ICMP,70,192.168.110.145,10.0.54.49,0.026063003248738604,140.81261498571436,Credential_Harvesting
643.6759446662402,244.54982144266822,3.329656255945583,22,TCP,71,192.168.35.159,10.0.7.100,0.010766739869801967,92.94368672040802,System_Reconnaissance
381.3677312458152,50.995960350533984,2.2548656690519038,80,HTTP,84,192.168.132.48,10.0.3.76,0.13785900357110878,123.2023397104731,Credential_Harvesting
505.101214434222,238.03473958127634,3.5168962745577876,6660,HTTP,58,192.168.142.251,10.0.123.189,0.054962746547199376,194.04488551265405,Credential_Harvesting
295.2467306860047,23.949398176939155,3.206469701358167,3389,DNS,97,192.168.153.248,10.0.79.212,0.19301072009959647,60.445202571822286,Credential_Harvesting
605.2242172887072,62.245894672453474,0.6617742348086647,22,HTTPS,67,192.168.46.48,10.0.169.149,0.12109976741713309,100.87333617555436,Command_Execution
577.8306770660183,198.5641657784338,3.927111293277144,80,HTTPS,58,192.168.168.178,10.0.32.12,0.12903240630836418,141.65132123627907,Credential_Harvesting
574.3707531541356,257.203068670766,3.63131415955334,53,HTTP,56,192.168.7.95,10.0.229.104,0.03936457898466668,11.956787604191854,System_Reconnaissance
500.2428547035412,79.54049018310796,3.313588499325286,443,ICMP,58,192.168.60.35,10.0.111.7,0.02577657732212997,82.4396692710645,Data_Exfiltration
562.2159336183187,101.52152371952931,0.8599586707279114,53,UDP,71,192.168.230.191,10.0.179.173,0.10508169962326708,117.90331806510892,Data_Exfiltration
740.6508662462894,163.4506207445883,1.4131825990972822,3389,ICMP,41,192.168.148.144,10.0.95.65,0.18511222024229956,181.17447307048005,Persistence
457.2358614436979,67.41397791434419,2.0265674547792423,443,HTTP,16,192.168.150.164,10.0.188.203,0.011149022901601425,198.47955570403317,Command_Execution
520.7967775565127,244.29109716831417,1.471655146116573,21,ICMP,63,192.168.19.130,10.0.45.34,0.10163434250975906,115.70163718326367,System_Reconnaissance
337.08105512278854,233.22281027669942,1.2162704243130442,80,UDP,24,192.168.68.250,10.0.211.139,0.039742139961872106,189.47025461919944,Persistence
369.76085576025014,47.86105502990558,4.046252583792701,21,HTTPS,91,192.168.98.7,10.0.225.161,0.15639681714181575,28.860447881116304,Data_Exfiltration
514.6719939639961,141.82977088590647,3.2273380071649918,443,HTTP,90,192.168.47.177,10.0.8.45,0.1363897500567489,143.241456744857,Credential_Harvesting
665.590032005286,233.5741911631133,2.870813444596227,6660,TCP,36,192.168.206.43,10.0.200.226,0.019441300287552643,86.10532924785062,Credential_Harvesting
461.55787636226415,104.51221167550736,1.207168283180944,80,UDP,75,192.168.32.145,10.0.104.219,0.12326744125814189,152.6849569371922,Lateral_Movement
464.6125206031814,191.76651270173085,4.598575155116342,80,UDP,90,192.168.229.128,10.0.221.78,0.19672002882256065,174.8674735117107,Command_Execution
438.9672133243438,19.812870829983957,1.0367968915768497,21,UDP,48,192.168.119.14,10.0.162.45,0.10562782521005157,20.207614104198342,Lateral_Movement
419.78649937335155,184.5631843561488,3.995259570840918,80,HTTPS,70,192.168.81.160,10.0.123.229,0.05708977572127965,187.73997329483925,Command_Execution
544.2457183563232,50.032629100179065,4.836696066855936,443,ICMP,82,192.168.188.188,10.0.193.201,0.03042705043615881,22.949676583598084,Command_Execution
275.4113532232033,250.02208090876314,3.6627543731987573,6660,DNS,59,192.168.52.245,10.0.180.138,0.19792844986244632,153.1456907750144,Credential_Harvesting
692.1409365000092,109.85759175624115,4.965007998404686,3389,TCP,20,192.168.194.231,10.0.222.43,0.11276316979938712,23.123254088382843,Credential_Harvesting
400.1866552805809,88.05838950481774,3.290150473191939,3389,HTTP,92,192.168.4.232,10.0.210.81,0.07493968007182787,173.7196116997104,Persistence
